ID,Category,Region,WingStatus,Inventory ID,Country,Airline,Wing Identification,Circa,Material,Size,Hallmark,Clutch/Screw/Pin,Year Acquired,Source,Acquired by,Cost,Sale/Trade,Market Value,Condition,Date MV,Thumbnail,Photo,Reverse Photo,Memo,Additional Notes,Status
1136,M,2,Yes,ARG-M-N-040,Argentina,Navy,Pilot,2003,Metal,,,Pin,2003,,Purchased,$5.00 ,,,Mint,,small_argmn40.jpg,argmn40.jpg,nopicture.gif,"Currently, this is the only wing worn by Naval Pilots ",,A
1137,M,6,Yes,AUS-M-A-060,Australia,Army,Pilot,1990,Metal Sterling,,,Clutch,1990,trade,,,,,Mint,,small_ausma60.jpg,ausma60.jpg,nopicture.gif,,,A
1138,M,6,Yes,AUS-M-A-070,Australia,Army,Pilot,1990,Metal,,,Clutch,1990,,,,,,Mint,,small_ausma70.jpg,ausma70.jpg,nopicture.gif,,,A
1139,M,6,Yes,AUS-M-AF-020,Australia,"Air Force - ""RAAF""",Pilot,1945,Cloth,,,none,,Astoria,Purchased,,,,Fair,,small_ausmaf20.jpg,ausmaf20.jpg,nopicture.gif,,,A
1140,M,6,Yes,AUS-M-AF-025,Australia,"Air Force - ""RAAF""",Pilot,,Cloth,,,none,,,,,,,Good,,small_ausmaf25.jpg,ausmaf25.jpg,nopicture.gif,,,A
1141,M,6,Yes,AUS-M-AF-040,Australia,"Air Force - ""RAAF""",Pilot,1990,Metal Sterling,,PERFECTION SYDNEY STG. SIL,Pin,1990,Donated - WCmdr E. Baldwin,Purchased,$25.00 ,,,Mint,,small_ausmaf40.jpg,ausmaf40.jpg,nopicture.gif,,,A
1142,M,6,Yes,AUS-M-N-030,Australia,Navy,Pilot,1990,Metal,,,Clutch,1993,Webster,,,,,Mint,,small_ausmn30.jpg,ausmn30.jpg,nopicture.gif,,,A
1143,M,3,Yes,BEL-M-A-043,Belgium,Army,Pilot - Officer,,Metal,,,,1992,Geilenkirchen AB NATO,,,,,,,small_belma43.jpg,belma43.jpg,nopicture.gif,,,A
1144,M,3,Yes,BEL-M-A-047,Belgium,Army,Pilot - NCO,,Metal,,,,1992,Donated - Geilenkirchen AB NATO,,,,,,,small_belma47.jpg,belma47.jpg,nopicture.gif,,,A
1145,M,3,Yes,BEL-M-AF-035,Belgium,Air Force,Pilot,1991,Bullion,,,none,1991,Donated - Geilenkirchen AB NATO,,,,,,,small_belmaf35.jpg,belmaf35.jpg,nopicture.gif,,,A
1146,M,3,Yes,BEL-M-N-055,Belgium,Navy,Pilot,,Metal,,,,1992,Donated - Geilenkirchen AB NATO,,,,,,,small_belmn55.jpg,belmn55.jpg,nopicture.gif,,,A
1147,M,3,Yes,BGR-M-AF-060,Bulgaria,Air Force,Pilot - Basic,1960,Metal,,,,1991,Ingo,Trade,,,,Good,,small_bgrmaf60.jpg,bgrmaf60.jpg,nopicture.gif,,,A
1148,M,3,Yes,BGR-M-AF-070,Bulgaria,Air Force,Pilot - 1,1970?,Metal,,,,,Meadowlands,,,,,Good,,small_bgrmaf70.jpg,bgrmaf70.jpg,nopicture.gif,,,A
1149,M,3,Yes,BGR-M-AF-080,Bulgaria,Air Force,Pilot - 1,1975?,Metal,,,,,Meadowlands,,,,,Good,,small_bgrmaf80.jpg,bgrmaf80.jpg,nopicture.gif,,,A
1150,M,3,Yes,BGR-M-AF-090,Bulgaria,Air Force,Pilot - 1,1979?,Metal,,,,,Meadowlands,,,,,Good,,small_bgrmaf90.jpg,bgrmaf90.jpg,nopicture.gif,,,A
1151,M,3,Yes,BGR-M-AF-100,Bulgaria,Air Force,Pilot - 1 ,,Metal,,,,,Meadowlands,,,,,Good,,small_bgrmaf100.jpg,bgrmaf100.jpg,nopicture.gif,,,A
1152,M,3,Yes,BGR-M-AF-107,Bulgaria,Air Force,Pilot - 3,1975?,Metal,,,,,Meadowlands,,,,,Good,,small_bgrmaf107.jpg,bgrmaf107.jpg,nopicture.gif,,,A
1153,M,3,Yes,BGR-M-AF-110,Bulgaria,Air Force,Pilot - 1 ,1990?,Metal,,,,,Meadowlands,,,,,Good,,small_bgrmaf110.jpg,bgrmaf110.jpg,nopicture.gif,,,A
1154,M,3,Yes,BLR-M-AF-030,Belarus,Air Force,Pilot - 1,,Metal,,,Pin,,Ebay - wiskeysub,,$10.00 ,,,Good,,small_blrmaf30.jpg,blrmaf30.jpg,nopicture.gif,,,A
1155,M,2,Yes,BLZ-M-AF-020,Belize ,"Defense - ""BDF""",Pilot,,Cloth,,,,1993,Embassy,,,,,Mint,,small_blzmaf20.jpg,blzmaf20.jpg,nopicture.gif,,,A
1156,M,2,Yes,BOL-M-AF-020,Bolivia,Air Force,Pilot,,Metal,,,Clutch,2002,Bolivia Air Force Academy,,,,,Good,,small_bolmaf20.jpg,bolmaf20.jpg,nopicture.gif,,,A
1157,M,2,Yes,BOL-M-AF-021,Bolivia,Air Force,Pilot,,Metal,,,Clutch,2002,Bolivia Air Force Academy,Purchase,,,,Mint,,small_bolmaf21.jpg,bolmaf21.jpg,nopicture.gif,,,A
1158,M,2,Yes,BOL-M-AF-025,Bolivia,Air Force,Senior Pilot,,Metal,,,Clutch,2002,Bolivia Air Force Academy,Purchase,,,,Mint,,small_bolmaf25.jpg,bolmaf25.jpg,nopicture.gif,,,A
1159,M,2,Yes,BOL-M-AF-027,Bolivia,Air Force,Command Pilot,,Metal,,,Clutch,2002,Bolivia Air Force Academy,Purchase,,,,Mint,,small_bolmaf27.jpg,bolmaf27.jpg,nopicture.gif,,,A
